	Nice Hotel...Great Location	Stayed here for my 40th B-Day. Got Studio King Suite for great rate. Very nice and big room, hardwood floors and balcony. Comfortable bed and great shower pressure. 2 elevators in hotel, one was big and the other was barely enough for 2 people with luggage. Bellman and Front desk staff were great and helpfull. Food, Starbucks, train, Whole Foods, Central Park all within steps of hotel. Overall this is great hotel and plan on staying here again in the future.
Nov 9 2008 	Small accomodations but overall nice	Awesome location for this modern, boutique hotel. Right across the street from Time Warner Center. The staff members at this hotel were fantastic - from the doormen, to the front desk - all seemed to work on the guest's behalf almost effortlessly. The room (superior queen) was fine for 2 adults but a bit small. The bathroom was modern and nice. We were on the 6th floor and our view was of the HVAC system - not surprising for NYC.The hotel was perfect for us. I would certainly stay here again and would highly recommend to my friends. I wouldn't recommend to someone expecting a large, full service (restaurants, gym, etc) hotel.
Nov 8 2008 	Dark interier over rated hotel	A boutique hotel that tries way to hard. Dark over all feel. Cow skin panels in elevators and downstairs. Room 86 was $150. more then room 26, exactly the same size. Both have a view of the alley! If it had a park view maybe, but for the money it was riducuously overpriced. The elevator and our bathroom were sprayed many times with some sort of bug spray. It was disgusting! Truly wished we had stayed somewhere else.
Nov 4 2008 	NIce Change of Pace	I usually stay at Marriott or other chain hotels, pricelined this one and wasnt sure what i was goin to get. I booked the hotel thru Priceline for $120/night. Hoping to get an upgrade. Standard room is a full size bed, 175sq ft. room. I called them up and they upgrade me for $60 more to a King Superior, usually $350/nite.The hotel has a great staff and quite accomodating. The location is not on Columbus Circle, but on 58th st. You walk out the door and Columbus Circle is less than a minute walk across the street. Overall it is a nice place, rooms little small, but you pay for location.
Oct 23 2008 	Would definitely stay here again	We have just returned from our stay at 6 Columbus and our experience was very different to that of some of the other guests. We booked a Queen room for a reduced rate via the Quikbook website. The Quikbook site clearly stated that the room was for a maximum of 2 people. Upon arrival, it was clear that booking via Quikbook meant that you were given the smallest rooms in the hotel. There was no way that 2 people could stay comfortably in this Queen room.There was only 1 single wardrobe, no natural light, hardly any floor space around the bed and nowhere to store our 2 large suitcases. I spoke to Lula on the front desk and she went out of her way to ensure that we were happy with our accommodation. She showed me 2 other rooms which were much more suitable for couples and managed to offer us a larger Queen room at an extremely reasonable upgrade price. Throughout our stay, Lula made a point of checking that everything was ok with our room. With regards to the rest of the hotel we really couldn't fault it. All of the staff were extremely friendly particularly the doormen. We didn't try the restaurant but we did drink at the bar a few times and they even served sushi to us at the bar. My only gripe would be that the bar area is quite small with limited seating. The room we actually stayed in was a great size. The double wardrobe was more than adequate and there were large drawers under the bed also. The ipod docking station was a nice touch as were the Khiels toiletries in the bathroom and the free daily newspapers. The room temperature control took some getting used to but overall it served it's purpose and the underfloor heating in the bathroom was very welcme after a hard day's sightseeing. The bed was also very comfortable.Housekeeping did a great job at keeping the room immaculate and also turned down the bed every night leaving little treats on the duvet.In addition to the great service and comfortable room, the hotel is in the most amazing location. The Time Warner Centre is literally across the road which houses a large Whole Foods market and lots of nice restaurants. Starbucks is next door and there were several places to get a great breakfast just up the street. Columbus Circle was right on the doorstep including the best entrance to Central Park. Overall we really enjoyed our stay at 6 Columbus and we would definitely stay here again on our next visit to New York.
Oct 23 2008 	Fabulous Location	We stay in NYC about 6 times a year in the off season when we can find decent rates. We have stayed in many boutique hotels including Hotel Giraffe, The Muse and The Benjamin. We booked the smaller king room at 6 Columbus and it was small but how much time do you stay in the room? It was clean and the bathroom was clean and staff was great. We ask for a quiet room and it was very quiet. The hotel was great and you can't beat the location. There is no roof top bar. I read about that either on quickbook or their own site but when we went to locate it all we found was dirty laundry. There is a huge whole foods across the street to peruse including lots of food to go. We walked Central Park twice which is right across the street and we could walk to our Broadway show. We booked directly with the hotel and the same day found a considerable lower rate on quickbook. I called the hotel and they matched the rate. We will definitely stay here again.
Oct 22 2008 	Great Little Spot	Stayed at 6 Columbus for 5 nights in late September and had a wonderful time!!! I'm not terribly picky, though, and mostly look for a place that's safe and clean and 6 Columbus definitely delivers in both respects!I got a really great deal thru quikbook for a Pod room (full bed) and since I was by myself, that was perfect. I will say, however, that if I had paid the hotel's asking price of $405/night, I would have expected more. But for $180/night, it was an outstanding value!!!Yes, the room is small. But honestly, if you're in NY for the room, then you do need to go elsewhere. The bed was incredibly comfortable, linens clean and soft, and housekeeping did a wonderful job every day. The bathroom was well-appointed, though the tub was a bit small if you actually wanted to take a bath--which I refuse to do at hotels anyway. Heated floor tiles in the bathroom definitely a plus!!! Kiehl's toiletries were a wonderful touch and there was also q-tips and cotton balls in the bathroom--simple but very nice touch!1 thing I did notice missing was a coffee pot...but there is a Starbucks next door to the hotel, so it really didn't matter that much to me. The view from room 27 was terrible, as most have described, to some kind of shaft in between buildings. But you know what? I was NEVER in my room during the day looking out the window and at night the blackout drapes were closed so why do I care what the view was? So it all depends on you! After my rave reviews, my coworker stayed at 6 Columbus the very next weekend and loved it as much as I did! Oh and the umbrella they provide for you to use during your stay came in handy as it rained 4 out of the 6 days I was in NY!!! :-)Will definitely return if the price is right!
Oct 15 2008 	Honestly Not Worth It . . .	Alright, first the positives - the location is excellent (so close to Central Park, the Upper West Side, etc.), the hotel is clean and kept up nicely, and staff members are fairly friendly . . .. . . but for $250/night - even if we are talking about Manhattan - one expects more than a mere 75 square feet or so (a so-called &quot;Pod Room&quot;), with a view of a pigeon-occupied tower of space (about six feet by six feet), a tiny bathroom (admittedly with a heated floor, a nice touch), essentially upscale dorm-style furniture, and lousy temperature control.All things considered, experience suggests that one would do a lot better three times out of four by going on Priceline.com or the like, and putting in $250/night and 3.5 stars. Again, even for Manhattan, this didn't represent good value for money.
Oct 12 2008 	Great if you like bugs and bird excrement - see the pictures	God help you if you booked via a booking channel that doesn't specify the room type, like priceline.Lobby nice, doormen always exceptional. Room 49: nightmare. It's tiny, but that's not the issue - I've stayed in the Hudson's even tinier rooms happily. It's not pleasant to have nowhere to open your suitcase except on the bed, but that's not the big problem here.The window in the room overlooks a waste disposal pipe in an internal airshaft, with a view across to adjacent rooms. That is, if you can see through the window given how much encrusted bird excrement cakes it - check out the photo.Of all the hotels I've ever stayed in, this is I think the most depressing layout. I couldn't deal with that aspect of the room, so I returned to the front desk. Lula on front desk told me I could pay almost $600 to upgrade to a better room - still nothing special, not up to an average Marriott or Hyatt standard - and she literally walked away when I complained. The general manager Barbara Lopez left notes every night asking to be contacted if anything could improve my stay, but she never replied to my email.The bathroom had silverfish bugs - check out the attached photo. I didn't bother complaining at the time because of my horrible prior experiences with Lula and Barbara, but I showed them these photos upon checkout and they didn't care or offer me any sort of amenity, not even a discount on my $20 minibar.This stay was approximately halfway through a 120-night vacation at 4* hotels throughout the Americas. It was easily in the bottom 10% of my hotel stays. I've stayed in NYC hotels around 40 times this decade, and this was easily the worst experience of the lot.I was so looking forward to my first stay in a Thompson hotel. I'm now about as anti the brand as it is possible to be.Avoid this hotel unless you are paying for a specific room type - but if you're gonna overpaying that much, just choose a better hotel.
Oct 5 2008 	What a shame the designer of this place couldn't get quieter airconditioners	Funky little hotel in a great central location on Manhattan Island but our stay was ruined by a noisy air conditioner outside our window that the staff seemed either unable or unwilling to fix for the three nights we were there.Would have been nice if they'd offered to move us to another room, but no, we even had to get the bellhop to run down the street and get ear plugs so we could sleep.Would only stay here again if the room did not have an airconditioner outside the window.There are better hotels in New York for the price.
Sep 21 2008 	Great Staff/ Great Location	Unfortunately, we had to go to NYC last minute for a funeral. The staff was incredibly caring, especially Lula. We had four separate rooms which were all lovely. The sheets are amazingly soft. The decor is fabulous...watch out for the corners of the platform beds!Plenty of closet and drawer space and the water pressure in the shower was fantastic, as were the toiletries of the hotel. Starbucks is just next door so a Latte is never far away. Whole Foods is in a great mall across the street. Everything we needed was within walking distance, including Central Park. All in all, its a bargain. I would highly recommend 6 Columbus.
Sep 10 2008 	I totally liked it!!	This is definitely the place to stay if you're aim is to explore Central Park and hit the museums! I got a really good deal for around US $225 per night and it's worth it. Clean, modern, great amenities and amazing sheets!! Central Park is right across road and all the bright lights of Broadway, Times Square and Madison Square Garden are all within walking distance. This truly is a gem located in mid-town for the reasonable price you pay.
Aug 30 2008 	Nice Location...	We booked a Queen Deluxe room on Quikbook.com for $250. We were in room 95. The room was bigger than I expected it would be. The bed was perfect for 2....with more than enough room.
Aug 25 2008 	Finally a clean bathroom and room!	My mom and I stayed at this small boutique hotel right on Columbus Circle. This hotel is small, modern, and had a wonderful hotel staff. I had to upgrade to a bigger room and they were very accomodating. The bathrooms and the room itself was clean. It actually had this baby rose aroma smell that I just could not figure out what it was. The beds were clean and soft. I don't suggest large parties to stay here. The rooms are not that large, we came here to do some shopping and after 2 days it was getting pretty crowded. The location is pretty convenient. There is a mini mall and subway right across the street in the CNN building. Pinkberry is right next door for some yummy yogurt. And a block down is 9 Ave where there are tons of restaurants to choose from!
Aug 24 2008	Small but well designed rooms couldn't be more convenient	I would recommend this hotel for anyone looking for a simple, yet quality stay at a hotel in NY for a reasonable price. The decor is modern and pleasing. The rooms are indeed small but well designed with hidden storage spaces, like drawers under the bed. The Fresh bath products are a real plus as is the Blue Ribbon restaurant in the lobby. The location across the street from the Time Warner building and the Columbus Circle subway station is also super convenient. My only complaint - and the reason why I didn't give this place higher marks - was the full sized bed, which was a bit cramped for two adults. I booked the room through Priceline at a great price and specified two people. I'm not sure if it's normal for the hotel to book two people to a room with a full sized bed, but I'd recommend calling the hotel to make sure.
Aug 21 2008 	High-price...underwhelming.	After searching for a hotel with a good location in Manhattan for a &quot;reasonable&quot; price I booked at 6 Columbus. Most prices I had seen were upwards of 500/night and they had rooms at $345. I have to say I left feeling really underwhelmed and disappointed for the money I spent. Positives: 1. LOCATION, LOCATION, LOCATION. You really are paying here for location. Subway (59th street/columbus circle) right across the street, QNRW (7th Ave) less than 4 blocks away, Less than 1 block from Time Warner Center/Central Park. 2. Cleanliness--housekeeping service was outstanding. Drawbacks/Negatives: 1. LOUD doors that seemed to slam frequently after 1100pm. 2. Many of the staff were nice but it seemed like many were trying so hard to be friendly and helpful that at times I wasn't sure anyone knew what exactly they were doing. 3. SMALL rooms. I upgraded to a queen deluxe (having booked a superior) and it was tiny...with NO view. 4. LOUD water pipes. Anytime anyone used the water to shower the pipes were super loud. 5. LOUD A/C blower...I couldn't hear the TV when the A/C blower was going and especially not when A/C and water pipes were in use next door. 6. LOUD hum from pipes/fans outside window...if you are not lucky enough to get a street/park facing view and are stuck in the back you look out onto pipes from the adjoining buildings.Unless their prices come down or I could get a &quot;deal&quot;--less than $200 per night, I don't think I would stay here again.
Aug 14 2008	Bad service	The clerk at the counter refused to check us in because the guest who had occupied the room wanted to extend his stay for another night. They could not offer us another room (fully booked) instead we should stay at the Hudson hotel a hundred yards down the road for one night and come back the next day for the second night. We refused and asked for the manager in charge to complain about this unacceptable offer, but the clerk was the manager already. The manager emphasized that the Hudson had the same standard (that was a lie, as we found out later) and we could stay there for two nights. We did not like to spoil our holiday and accepted the change.
Aug 8 2008 	Nice hotel great location worth a stay	Stayed at 6 Columbus Aug 1-4 after getting what was apparently an introductory rate on Quikbook ($230 or so). The location is great (yes, it's not ON Columbus Circle, but barely 1/4 block away...not worth quibbling about) with the subway and Time Warner Center directly across the street, and the park right across the circle. The area is a lot less hectic than being further south, but still convenient.The staff was extremely nice and unobtrusive. The Queen room was very spacious for NYC, with a comfy bed, desk, flat panel TV, and a huge bathroom. It was nice to see a hotel think about the people who use their rooms and provide plugs on TOP of theThe interior rooms are a bit cave-like, since you don't have a window, but the lights have slider settings so you can make the room a lot brighter than the way the staff apparently sets it up in preparation for your visit. I'm not sure why people fixate on the dark hallways - I didn't run into anything, and unlike other hotels with dark hallways, the room numbers were lit up.Overall, I loved the hotel's style, comfort and location. I don't know if I would pay full rate, but in the $200+/- range this is a good NYC hotel that would make your visit to the city very pleasant. I would definitely stay again.
Aug 3 2008	Nice Stay for $200	I arranged my one night stay through Quikbook, at a rate of 199.00. With this rate in mind, I found the hotel very nice. It was clean, modern, safe and nicely located in Columbus Circle. The staff were friendly and fairly helpful for my few questions. The only drawbacks I found during my stay were the loud doors and cleaning staff that seemed to be yelling &quot;housekeeping&quot; all morning long. Minor issues...As has been mentioned, the rooms are small, there are no views nor real amenities. I would not pay the rates they list on their website (425 for the queen room etc.); even in Manhattan you can find a better room for that price. I only needed a place to sleep near Central Park for one night, and did little more than sleep in the room, so it was perfect for my needs at the reduced rate. Nice new option in the city.
Aug 2 2008 	Nice Stay but be Warned	My partner and I stayed at 6 Columbus Circle (not really on Columbus Circle) over the Memorial Day Holiday. After making my reservation I called the hotel and talked to Abbey to request high floor (street facing) which she confirmed. When I spoke to Abbey, I even reserved an upgraded room since it was my anniversary. Upon check in, we were given a SMALL room on the 2nd floor. Even though I complained to the front desk, I was told the hotel was full and nothing could be done for that night. The clerk at the front desk advised us that we could move the next day to the room that was promised to us. We were in the room until about 11:00 AM and no call from the front desk to change rooms. When we arrived back to the hotel later in the afternoon, still no call! I finally called the front desk and they had the nerve to advise me that they were ready to move us but we had not called them! Generally hotels that run efficiently would contact the guest and coordinate these types of activities. We finally moved to a room on the 10th/11th floor. The room was oversized with a large-ish bathroom facing the street. There was one day when housekeeping had not cleaned the room by 6:00 PM but this was quickly resolved without any hassle. One note, the beds that are used are platform so there is no box springs on the bed. Also, this hotel does not use top sheets, only a duvet (Iï¿½m sure this works well in Winter but not Spring/Summer). On the positive side, the location is EXCELLENT and Starbucks is next door. Each night the turn down service includes Voss water chocolate. A nice stay overall but with some problems and attitude from the front desk.
Aug 1 2008 	6 Columbus - Pretty Good	I was in NYC for a business trip and stayed at 6 Columbus for 2 nights.LocationThe property is right across the street from the ACE subway line and The Shops at Columbus Circle. It is a great location that is close just south of Central park and an easy walk to everything mid-town. Oh, there is a Starbucks next door too in case you need a caffeine fix.StaffALL the staff were wonderful to deal with. They were friendly, professional and helpful. You would think this is one of the basics.RoomI'll post some photos, but the rooms are a reasonable size. I wouldn't say that it was a large room, as the king bed just barely fit with the 2 side tables, but it was serviceable. No complaints.The view was the back of another building. I had the curtains drawn the whole time and thought it was fine. If you want a brighter room and a good view, ask for a suite in the FRONT of the building. The decor is slick, but I agree with the other reviewers in saying that it is a bit too dark. I like dark hip lounges, but would like the bedroom a bit lighter/neutral.The worst thing was the air conditioning system. It worked, but it was basically an on/off switch run by a thermostat. This isn't bad in itself as the temperature was kept at a comfortable level, but when on, it was LOUD. Really loud. I found it hard to do a video conference on my computer with the fan on...something that I've never had issues with in other locations. Room AmenitiesNicely furnished with Frette robe, Dean and DeLuca snacks in the mini-bar, and Fresh bath products are a nice touch.Hotel AmenitiesThe building is old and it shows its age. You can either think of this as quirky and charming or dumpy. I prefer the former. :-)It isn't a newly constructed hotel with a work out room, pool, etc. Not a big deal to me as I work out by walking everywhere while traveling.The hallways seem a bit dark...as do the elevators that are covered in dark pony skin or something. This is the hotel's attempt to be hip and slick. I can take it or leave it and would rather have brighter hallways and rooms.There is a pretty restaurant off the lobby that serves Japanese inspired foods. It is pretty vibrant at night. It is OK (not great), and a bit expensive... Nice atmosphere but if you just want good food, you can do better just by going on a short stroll around the block.Oh WiFi...like all travelers these days, I need wifi...and the hotel is smart to have fully blanketed the building with FREE wifi. A big plus! What's with hotels that still want to charge for wifi access after already gouging for the stay?OverallThis hotel has been greatly anticipated. The retrofit is decent but nothing really to write home about. A bit dark for my tastes.I thought it was a nice hotel and would stay here again. Great location, excellent staff, decent room. If you can get a good price, it is a good play to stay.
Aug 1 2008 	great stay in New York at the 6	I stayed at this hotel on July 25 and 26, 2008. The hotel is located at 8th Ave. and 58th St. across the circle from Columbus Circle and the Time Warner Center. I upgraded my room from a pod to a queen for an extra $35 a night. This made the rate more than I would have liked to pay as I had read posts where the rate was much better than I got but for New York it was a fair price. The front desk staff was very pleasant and helpful and great to deal with. The room was bigger than at the Hudson down the block but not really big. It was very well designed and pleasing to the eye if a bit dark. The bathroom was shiny and very modern with the right amount of room. The linens and towels were of an excellent quality and the bed was very comfortable. Everything was very clean. I would definitely book here again if I can get a good rate as the location is ideal.
Jul 27 2008 	Great Staff!	We are in NY at least twice a year for business. 6 Columbus was won on Priceline for one night. The second night we booked directly through the hotel's website.While the hotel's decor is a little too dark for our taste, the staff was outstanding. Everyone was friendly, professional and helpful. We would definitely stay there again just because of the staff and location.We upgraded our room to a king. We were told it was worth the additional $50/night. The room was still on the smaller side. Pros: Outstanding staff, nice hotel, great area, complimentary newspaper, nighttime, brownie at turndown. Also great Sushi restaurant. Cons: Decor a bit dark. Bathroom door is glass so if you have light on at night it shows through. Door to room is heavy and it is difficult to close quietly.
Jul 25 2008 	The Find of the Year	My wife and I spent four wonderful nights at this very trendy and elegant hotel for our honeymoon during the Thanksgiving weekend of last year. I had meant to write a review earlier, but I never found the time. Shame on me. This hotel was aesthetically beautiful, since it had only been open for around a month when we stayed there. The lobby is cozy and attractive. The rooms are both homey and artsy in design, although on the small side, which is common for Manhattan. You really have to get used to the bed corners, because you will end up banging your shins a couple of times against them. But no matter. The bathroom was comfortable and clean. The TV set was an LCD screen, which I liked a lot. The hotel is perfectly located around the corner from Columbus Circle, which makes it extremely easy to move within the city by subway, bus or just by walking. The staff was really friendly and attentive. All in all, we had a wonderful honeymoon and this hotel was a great part of it. I tried to book us again to celebrate our anniversary this year, but the rates have already gone up from what we originally paid (I paid $189/night... I guess I was lucky that the hotel had just recently opened). For those who can afford it, I highly recommend it.
Jul 18 2008 	I want to go back!	Stayed in this hotel for only one night, and I wish I could have stayed longer (for the same price, of course). We booked through priceline and got an AMAZING deal. The hotel is a little bit hard to find, the taxi driver could not find it, and took us around and we ended up paying more fare. But it's in a great location: Central park is right across the street and Times Square can be reached by walking down Broadway. There is a shopping center right across the street, but we did not have a chance to check it out. We stayed in the pod room, which is super tiny, but extremely clean and decorated really well. Even though the bed is a bit small for two people, it is really comfortable because of the pillow top mattress. The flat screen tv was great, but I would have liked to have maybe a little table or at least a chair to put things on, I think there would have been enough room for a least a chair or a luggage holder. I loved the bathroom, it was very modern and pretty. Toiletries, Q-tips and cotton balls. There was a safe in the closet, a bathrobe and an umbrella to use during your stay. I was disappointed though because there was no hairdryer. The AC in the room worked really well. The staff was great. I would recommend it to everyone and would definitely stay there again.
Jul 12 2008 	Sweet 6-Spot	I was pleasantly surprised by 6 Columbus. Having stayed a week at Soho sister hotel, Sixty Thomson last year, I was pretty reluctant to repeat the experience. But my sister and the attractive price point convinced me otherwise. And I'm glad for that.The location is super, right on Columbus circle, near every convenience imaginable. Unfortunately, most taxis had a hard time finding it, for some reason.I booked the basic room and expected something tiny, this being NYC. But I was happy to find that although small, it was spacious and had clever little storage spaces like underbed drawers. The service is pleasantly unpretentious, understated, accomodating and most imptly, inobtrusive. Loved the Fresh toiletries. Could have more of a variety though. Too basic.And although there's the jumpin' -- and delicious -- Blue Ribbon Sushi bar in the lobby, it was never too noisy, scene-y or happening, thankfully.I ate at the Blue Ribbon every day - sometimes twice a day - and once when i had some bad fish and became ill, they waived my bill and gave me a $100 voucher, with min fuss. Can't blame them completely though, traveller's diarrhea may have played some part in this.The room service breakfast, though was overpriced and horrible (burnt cold toast). Otherwise, a sweet little spot. I'm there next time I'm in Manhattan.
Jul 11 2008 	The Most Amazing Hotel!	I got the most amazing deal on Quikbook! The Bell staff, reception and concierge are all extremely helpful, not to mention very good looking. This is a trendy hotel!I also have to state that this place is SPOTLESS!!! I have never stayed in a hotel more clean than this, and it smells great too. When they turn your bed down at night you even get a mini brownie to eat with your night cap!I stayed in a Pod Room. Don't be fooled by the name, the room is a brilliant size. You get a double bed, more than enough floor space and a full size bathroom. The only downside is that there's hardly any natural daylight even though you have a full size window, it faces the shaft.The location is perfect, just across the road from the Time Warner Building and Columbus Circle subway and next door to a Duane Read, also a stone's throw from Central Park.If I can get another deal (usually the hotel is quite expensive) this will absolutely be my hotel of choice every time I go to New York. I pity the poor suckers paying way over the odds for a tiny room at the Hudson on the same road, 6 Columbus is miles better!!
Jul 8 2008 	Very Nice!	We got a great deal on this hotel through Quickbook ($200/night for a king room). The staff was very nice and helpful. The room was clean and the bed comfortable. The room was very small, but for New York, it was fine. The location was great as well. Right across from Columbus Circle. There is a Whole Foods, so you can get anything you might need. The subway is there, too. Some things to be aware of:Room was tiny and although there was a desk and chair, it would be very awkward to actually have to work at the desk.There was no hair dryer or ironing board. I'm assuming I could've gotten these from Housekeeping had I needed them.The air conditioning is extremely loud. I got used to it, but if noises bother you, it might be a problem. We would definitely stay here again if we could get a similar rate. I don't think I would pay $300+, though.
Jul 1 2008 	The Staff Shines	Just returned from 5 nights at 6 Columbus. A few highs and lows, but overall very pleased. The staff from front desk to housekeeing couldn't have been nicer or more helpful. The young men at the front door that help with luggage and cabs etc. were a delight. They were bright, polite, friendly, well groomed and well trained. Rooms are small, but well designed. Beds are very comfy! A small desk and chair in the rooms would make a great difference. Lighting in the rooms and bathrooms is very inadequate. Mood lighting just doesn't cut it when you're in the shower or shaving. Can't see instructions for use of the room safe on floor of closet because of lack of light. Overall, I liked it and would go back. Kudos to staff and people who picked and trained them.
Jun 2 2008 	Average NY hotel	I stayed at 6 Columbus for 3 nights in May. The hotel is fine for the price I paid, but there are better hotels for similar prices (the Hudson for example). Rooms are tiny as expected, location is great at Columbus Circle and near the park. The room was pretty clean (except for a strange goo on the bedside table!) and the front desk service was acceptable.If you can get a good deal ($200 for a queen room) I would recommend it if you don't need top notch service. If paying regular price, look elsewhere.
May 28 2008 	Perfect!	I booked through Quickbook.com...same day and got a wonderful $159 rate for a queen room. My husband and I had a wonderful time at this hotel. Pleasantly surprised! The location is wonderful...close to Central Park and Times Square. The staff was so helpful. Now about the room...very modern and nicely appointed! I slept like a baby in the bed. For NYC...wonderful deal...especially for a holiday weekend!
May 27 2008 	Stay now before everyone else finds out about it!	I stayed here this past Friday night, and was thoroughly impressed. For this price point, 6 Columbus is a great, hip choice. It has a kickass location (just behind Columbus Circle), which makes it very convenient. There aren't a lot of large-hotel amenities (such as pool or business centre), but it's high on design (blue/silver/brown trendy decor) and nice boutiquey touches such as Fresh brand toiletries. The staff is friendly, and the hotel small enough that you can get in and get out without long waits for anything. It's not for everyone, but if you like hip boutique hotels, you should definitely stay at 6 Columbus now...before all the rooms get trashed by overuse.
May 18 2008 	Wonderful stay at 6 Columbus	I've just returned from three nights at 6 Columbus. Having stayed at New York's Hudson Hotel a few years ago, I knew what to expect at this property, which seems to be similarly marketed to the young, urban, and hip set (not sure if that's me, but...). I had a Queen Superior room. It was nicely appointed, contained Fresh bath products in the bathroom, a heated bathroom tile floor that was most pleasant, a flat screen television hung on the wall, and a well-stocked mini-bar with top shelf alcohol and Dean and Deluca snacks. The room is not the largest room I've ever stayed in, but by New York standards, it was more than adequate. The bed fit in the room just fine, and when I'm in NY, I don't come to hang out in my hotel room.That said, my room could easily accommodate two people, which seems to be a point of issue for some reviewers here. There are two drawers for storage under the platform bed and a wardrobe for hanging clothes. Nice touches include an umbrella should it rain (it did while I was there so that came in handy), turndown service with a little mini brownie, and excellent (and adjustable) task lighting bedside and on the desk.There is a restaurant just off the small lobby, Blue Ribbon, that has sushi (It's okay. Some would say great. I would not) that somehow manages to also do room service and traditional American breakfast for the hotel. There are restaurants in the neighborhood, a pub next door, and a Duane Reade pharmacy/convenience store on the corner.I had difficulty adjusting the heating and cooling system in the room. It could be my own ineptitude, I don't know. The controls were those manual &quot;point the dial at the number&quot; controls. I am of the digital age: press an arrow up to a number or down to a number. Anyway, the climate in the room was perfect the first night. Then, it rained, which as you can imagine changed the humidity and outdoor ambient temps and all bets were off after that. I didn't call anyone to complain, and I still slept just fine.There is also a VERY small lobby which, particularly on the weekends I imagine (that's when I was there), uses music to assist in creating a hip and happening scene. The music can be loud in the elevator and in the lobby, but you won't hear it in your room. I guess that covers it. Oh, they seem to spray or pump in a signature scent, similar to what other hotels are doing these days. I find it pleasant. Slightly tropical with hibiscus notes, perhaps? Either that or they have some nice smelling cleaning products! While not offensive or in any way excessive, if you are sensitive to smells, be warned.The hotel is located across the street (W 58th) from the Time Warner Building at Columbus Circle. Great location. Overall, I would recommend this property and look forward to returning soon, probably next month.Happy travels!
May 11 2008 	GREAT Stay at 6 Columbus!!	I booked this hotel based on its location, price and traveler reviews (on TA and elsewhere). We stay in the city somewhat often, so we know space is at a premium and affordable rooms are hard to find....especially in good locations! I have to say, you cannot beat the location of 6 Columbus! Easy to find, it is just behind the Time Warner building with top notch shopping and dining just across the street. The subway station is also just across the street, making travelling throughout the city a snap. If you'd rather take a taxi, the doormen will happily hail one for you in a matter of seconds! Central Park is just steps away and on a good day, you can stop by Whole Foods (in the Time Warner center) and pick up fixin's for a picnic in the park......joyous! Yes, the rooms are small. We had a pod room and really, it took me back to my college dorm days! That being said, everything in it looked new and clean. The bed was super comfy and the heated bathroom floors were GREAT!! The fridge was well-stocked and the cabinet was filled with gourmet goodies. There was a small closet....and really, how much closet space does one need on a trip?? I never hang all my clothes when I go away....it was ample for us. There were 2 down sides that I can think of: 1) The lighting in both the bathroom and room were horrible for putting makeup on and 2) the room was HOT when we arrived, so we opened the window, but just beware of all the pigeon POOP ( I will say that in the days previous, it had been quite chilly!).The service was AWESOME! I really noticed how pleasant everyone was. When we arrived, our room was just being cleaned, so they happily stored our baggage until our room was ready...just a short 15 minutes later. When we called for an iron and ironing board, one arrived within 5 minutes!! The front desk always greeted us by name and were fast and courteous.I got a great deal on Priceline, so that was just icing on the cake. This hotel was WAY better than many of the others we have stayed at for double the price! I would absolutely recommend this hotel to anyone!
May 6 2008 	6 Columbus was Fabulous!	My boyfriend and I stayed at 6 Columbus for four nights at the beginning of April and had a fantastic stay. Now I'm considering it for a trip in the fall with my sisters. When we got to the hotel, we were greeted at the taxi cab's door by the very friendly doormen. I have to commend the hotel on the doormen they have working for them...what fantastic and friendly personalities they all have! Our room wasn't ready upon arrival, so the manager gave us complementary drinks at the Blue Ribbon Sushi Bar - a great little bar to frequent before dinner or when you come back from a long day of shopping (get the grapefruit cocktail listed on the menu!). This simple gesture was a great indication of the stay we were going to have.Once we got up to our room on the 7th Floor, we were surprised at how cozy and lovely it was. The room was small (I believe we booked a Queen Superior), but that is normal in New York, and neither of us were bothered by it. There were cute little touches all about the room - magazine racks with up-to-date publications in them, like Time Out New York, a vase with a real flower on the nightstand, an i-pod dock, under-the-bed storage. The bed was lovely, and very comfortable. Every night we slept very well. The bathroom was a good size with a deep tub, so no showers overflowed onto the floor. There was a window/shelf in the shower to place your toiletries. The toiletries - by Fresh - that the hotel supplied were fantastic. The towels we so fluffy! OH! And the best part of the bathroom - the heated floor in front of the shower area! It was fantastic in the morning to step onto a heated floor and I even found myself standing on it after our long days of walking.My only &quot;issue&quot; with the room is that after we both showered, the room itself got rather humid and muggy. The location of the hotel was fantastic. There was a subway stop right across the street where we could get downtown very quickly. One of the nicest things was being able to get up, grab a coffee at Bouchon Bakery across the street, and take a morning walk in Central Park. I had reservations about staying uptown, but ended up being very pleased with our location because I liked having the access to the Park, the Upper East Side, and being able to get downtown to Soho so quickly and easily.As I said up above, I am already considering 6 Columbus for a trip in the fall and would recommend it highly! From the staff to the comfy towels and bed to the fantastic location, I could not have picked a better place to stay!
Apr 30 2008 	6 Columbus A Thompson Hotel	Absolutely loved this place. Will definately stay there again. Service was excellent. Linen, towels, bath rob....flat screen TV just like at home. Staff are very friendly and very cooperative. Had a blast
Apr 30 2008	Uncomfortably small	I booked this hotel for two nights, but left shortly after arriving. The &quot;King Superior&quot; room is the tiniest NY hotel room I have ever (almost) stayed in. It is uncomfortably small, to the point of claustrophobia.There is a floating desk against one wall, but no chair to sit in - nor even would one fit between the desk and foot of the bed. The bathroom is basic and, although renovated, is crowded and equally uncomfortable.
